ID,Name,Team,Pos,Price,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts
1,"Fábio Vieira",ARS,MID,5.4,0,0,0,0,0,0,0,0
2,G.Jesus,ARS,FWD,6.8,1.7987,1.63125,1.6629,1.72867,1.79794,1.83106,1.64224,1.91167
3,Gabriel,ARS,DEF,6.3,2.736,3.08498,2.87613,2.8376,2.76339,2.91544,2.78091,2.90182
4,Havertz,ARS,FWD,7.9,2.74605,2.47317,2.4802,2.64273,2.71928,2.65234,2.55078,2.72071
5,Hein,ARS,GK,4,0,0,0,0,0,0,0,0
6,J.Timber,ARS,DEF,5.7,2.77464,3.0955,2.86342,2.82839,2.78007,2.92548,2.74691,2.89179
7,Jorginho,ARS,MID,4.7,1.05321,1.05844,1.03653,1.04512,1.05123,1.10307,1.00148,1.14005
8,Kiwior,ARS,DEF,4.8,1.02824,1.2324,1.11516,1.08843,1.04371,1.11515,1.06963,1.08685
9,Martinelli,ARS,MID,6.7,2.44607,2.3829,2.35651,2.48328,2.56668,2.54914,2.34978,2.55503
10,Nelson,FUL,MID,5,0,0,0,0,0,0,0,1.54087
11,Nketiah,CRY,FWD,5.9,1.61832,1.84402,1.50454,1.85212,1.74171,1.74306,1.64691,1.7853
12,Nwaneri,ARS,MID,4.5,1.23932,1.23676,1.21691,1.24264,1.24704,1.29541,1.19164,1.34426
13,Ødegaard,ARS,MID,8.3,3.75577,3.73528,3.61504,3.6068,3.77299,3.94456,3.38468,3.89115
14,Ramsdale,SOU,GK,4.4,3.16467,3.72067,3.11771,4.10225,3.59769,3.57009,3.16096,3.28061
15,Raya,ARS,GK,5.6,3.05731,4.21215,4.1167,3.76342,3.36573,3.81765,3.88739,3.67818
16,Rice,ARS,MID,6.2,3.04555,3.09217,2.98297,2.90745,3.00625,3.23236,2.75284,3.22195
17,Saka,ARS,MID,10.5,0,0,0,0,0,0,0,0
18,Saliba,ARS,DEF,6.3,3.22522,3.50981,3.2941,3.24141,3.19472,3.40228,3.15172,3.42508
19,"Smith Rowe",FUL,MID,5.4,1.19619,1.70897,1.88496,2.03258,2.08523,1.90551,1.89684,2.01635
20,Thomas,ARS,MID,5,2.32308,2.22476,2.19931,2.29742,2.33102,2.32564,2.21075,2.36558
21,Tierney,ARS,DEF,4.3,0.02228,0.0262,0.02396,0.02325,0.02252,0.02412,0.02279,0.02358
22,Tomiyasu,ARS,DEF,4.8,0,0,0,0,0,0,0,0
23,Trossard,ARS,MID,6.8,2.44822,2.29928,2.23198,2.36508,2.4679,2.42373,2.20688,2.43152
24,White,ARS,DEF,6.1,0,0,0,0,0,0,0,0
25,Zinchenko,ARS,DEF,4.8,1.03379,1.47872,1.52988,1.65977,1.62265,1.63824,1.61646,1.62941
26,"Alex Moreno",NFO,DEF,4.4,1.44834,1.34845,1.45309,1.46845,1.34394,1.4087,1.3991,1.4395
27,Archer,SOU,FWD,5,2.12765,2.05345,2.12473,1.97723,1.94006,2.00897,2.05009,2.07433
28,Bailey,AVL,MID,6.2,1.67001,2.06905,2.50867,1.69525,1.52489,2.28334,1.9359,2.18285
29,Barkley,AVL,MID,5.2,1.45247,1.55383,1.75762,1.48501,1.33262,1.64464,1.57824,1.58233
30,Barrenechea,AVL,MID,4.9,0,0,0,0,0,0,0,0
31,Buendia,AVL,MID,5.1,0.81173,0.84756,0.98436,0.8245,0.71673,0.90426,0.90351,0.86162
32,Cash,AVL,DEF,4.4,2.19938,1.8732,1.98579,1.87034,2.19359,1.91976,2.04473,1.85781
33,Dendoncker,AVL,MID,4.5,0,0,0,0,0,0,0,0
34,Diaby,AVL,MID,6.5,0,0,0,0,0,0,0,0
35,"Diego Carlos",AVL,DEF,4.5,0.96017,1.0791,1.25118,1.29117,1.51711,1.28977,1.37252,1.25479
36,Digne,AVL,DEF,4.7,2.89657,2.63172,2.88041,2.58509,2.82364,2.74339,2.83054,2.64572
37,Dobbin,AVL,MID,5,0,0,0,0,0,0,0,0
38,Duran,AVL,FWD,5.9,1.49504,1.77123,2.06849,1.78954,1.41264,1.94316,1.90375,1.87596
39,Gauci,AVL,GK,4,0.24999,0.20626,0.2014,0.22416,0.26316,0.19833,0.2171,0.17601
40,Hause,AVL,DEF,3.9,4.0E-5,3.0E-5,3.0E-5,3.0E-5,4.0E-5,3.0E-5,3.0E-5,3.0E-5
41,"Iling Jr",AVL,MID,5.4,0,0,0,0,0,0,0,0
42,Kamara,AVL,MID,5,1.84259,1.86318,2.03699,1.89623,1.72383,1.93706,1.9576,1.87583
43,Kesler-Hayden,AVL,DEF,4,0,0,0,0,0,0,0,0
44,Konsa,AVL,DEF,4.4,2.96471,2.83002,2.99583,2.68333,2.94442,2.89636,2.80277,2.8103
45,Maatsen,AVL,DEF,4.6,1.59109,1.37714,1.50522,1.36906,1.571,1.43519,1.51075,1.37907
46,Marschall,AVL,GK,4,0,0,0,0,0,0,0,0
47,Martinez,AVL,GK,5,4.36713,3.36267,3.28678,3.95719,4.57356,3.23764,3.8509,2.88436
48,McGinn,AVL,MID,5.2,2.31675,2.59386,3.00415,2.37405,2.16464,2.7896,2.64519,2.68874
49,Mings,AVL,DEF,4.4,0.35787,0.30939,0.32619,0.31197,0.35787,0.3167,0.33487,0.30739
50,Nedeljkovic,AVL,DEF,3.9,0.04496,0.03714,0.03875,0.03786,0.04547,0.03782,0.04072,0.03664
51,Olsen,AVL,GK,4.5,0.01275,0.00991,0.00969,0.01149,0.01339,0.00953,0.01116,0.00844
52,Pau,AVL,DEF,4.4,2.67181,2.34798,2.44306,2.36238,2.67869,2.38667,2.49113,2.32443
53,Ramsey,AVL,MID,5.4,0.02323,1.7848,2.31948,2.02801,1.83444,2.21615,2.3032,2.16008
54,Rogers,AVL,MID,5.4,2.44858,2.84741,3.2935,2.52414,2.31582,3.0862,2.77882,2.9804
55,Sinisalo,AVL,GK,4,0,0,0,0,0,0,0,0
56,Sousa,AVL,DEF,4,0,0,0,0,0,0,0,0
57,Tielemans,AVL,MID,5.5,2.87881,2.96102,3.42966,2.99111,2.74173,3.21459,3.30299,3.1059
58,Watkins,AVL,FWD,8.9,2.49331,3.04898,3.41182,2.61434,2.15794,3.1951,2.75377,3.09607
59,Aarons,BOU,DEF,4.3,0.16429,0.18196,0.15778,0.19803,0.19801,0.16661,0.17928,0.17544
60,Adams,BOU,MID,4.9,1.68528,1.58373,1.70072,1.5364,1.56041,1.7076,1.57443,1.79999
61,Anthony,BOU,MID,4.5,0,0,0,0,0,0,0,0
62,Brooks,BOU,MID,4.9,1.47543,1.39997,1.50357,1.34131,1.36405,1.51171,1.35928,1.68255
63,Christie,BOU,MID,4.9,2.76669,2.55247,2.80887,2.44866,2.46265,2.80482,2.59868,2.99009
64,Cook,BOU,MID,5,2.35963,2.34485,2.40164,2.26228,2.27724,2.40489,2.2276,2.74808
65,"Enes Ünal",BOU,FWD,5.4,1.59849,1.46599,1.66951,1.32141,1.34996,1.62301,1.34023,1.86967
66,Faivre,BOU,MID,5,0,0,0,0,0,0,0,0
67,H.Traorè,BOU,MID,4.5,0,0,0,0,0,0,0,0
68,Hill,BOU,DEF,3.9,0.65932,0.74042,0.62801,0.81641,0.81642,0.6693,0.73037,0.70412
69,Jebbison,BOU,FWD,4.5,0,0,0,0,0,0,0,0
70,Kerkez,BOU,DEF,4.7,2.69208,2.60156,2.64135,2.76431,2.76995,2.72824,2.7409,2.62433
71,Kluivert,BOU,MID,5.5,2.2896,2.60127,2.44684,2.52423,2.51655,2.46638,2.26044,3.38208
72,Mepham,BOU,DEF,4.4,0,0,0,0,0,0,0,0
73,Neto,ARS,GK,4.2,0.17745,0.25936,0.25334,0.22229,0.19702,0.23433,0.2302,0.22552
74,O.Dango,BOU,MID,5,2.152,2.18905,2.25963,2.15214,2.16648,2.28316,2.10792,2.6536
75,Paulsen,BOU,GK,4,0,0,0,0,0,0,0,0
76,Philip,BOU,MID,4.8,1.34964,1.25528,1.3193,1.18095,1.1968,1.325,1.19481,1.49567
77,Scott,BOU,MID,4.7,0,0,0,0,0,0,0,0
78,Semenyo,BOU,MID,5.6,2.60856,2.16532,2.66884,2.10599,2.12463,2.67912,2.47328,2.5141
79,Senesi,BOU,DEF,4.7,0,0,0,0,0,0,0,0
80,Sinisterra,BOU,MID,4.8,0,0,0,0,0,0,0,0
81,Smith,BOU,DEF,4.5,2.09795,2.23477,2.02039,2.43876,2.4391,2.12738,2.26542,2.14262
82,Solanke,TOT,FWD,7.5,2.77874,3.24401,3.11674,2.42735,2.89852,3.48584,2.8154,3.10825
83,Tavernier,BOU,MID,5.4,0,0,0,0,0,0,0,0
84,Travers,BOU,GK,4.4,0.20352,0.24921,0.19105,0.26752,0.26526,0.20206,0.23147,0.26863
85,Zabarnyi,BOU,DEF,4.4,2.54209,2.79221,2.4711,2.96164,2.97563,2.57204,2.67777,2.75994
86,Ajer,BRE,DEF,4.4,0,0,0,0,0,0,0,0
87,Brierley,BRE,MID,4.4,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5,3.0E-5
88,Collins,BRE,DEF,4.6,2.67694,2.5872,2.62749,2.56891,2.65772,2.70144,2.61134,2.71972
89,Damsgaard,BRE,MID,5,2.35514,2.35663,2.78699,2.45957,2.51945,2.45503,2.60373,2.49829
90,Dasilva,BRE,MID,4.8,0,0,0,0,0,0,0,0
