ID,Name,Team,Pos,Price,18_pts_no_prob,18_prob,18_with_prob,19_pts_no_prob,19_prob,19_with_prob,20_pts_no_prob,20_prob,20_with_prob,21_pts_no_prob,21_prob,21_with_prob,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob
1,"Fábio Vieira",ARS,MID,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,G.Jesus,ARS,FWD,6.8,2.07457,0.86702,1.7987,1.88144,0.86702,1.63125,1.91794,0.86702,1.6629,1.9938,0.86702,1.72867,2.07369,0.86702,1.79794,2.1119,0.86702,1.83106,1.89412,0.86702,1.64224,2.20487,0.86702,1.91167
3,Gabriel,ARS,DEF,6.3,2.91873,0.9374,2.736,3.29101,0.9374,3.08498,3.06821,0.9374,2.87613,3.02711,0.9374,2.8376,2.94795,0.9374,2.76339,3.11015,0.9374,2.91544,2.96664,0.9374,2.78091,3.09561,0.9374,2.90182
4,Havertz,ARS,FWD,7.9,3.05112,0.90001,2.74605,2.74793,0.90001,2.47317,2.75574,0.90001,2.4802,2.93632,0.90001,2.64273,3.02138,0.90001,2.71928,2.947,0.90001,2.65234,2.83416,0.90001,2.55078,3.02296,0.90001,2.72071
5,Hein,ARS,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,J.Timber,ARS,DEF,5.7,2.96212,0.93671,2.77464,3.30466,0.93671,3.0955,3.0569,0.93671,2.86342,3.0195,0.93671,2.82839,2.96792,0.93671,2.78007,3.12314,0.93671,2.92548,2.93252,0.93671,2.74691,3.08719,0.93671,2.89179
7,Jorginho,ARS,MID,4.7,1.68224,0.62608,1.05321,1.69059,0.62608,1.05844,1.65559,0.62608,1.03653,1.66931,0.62608,1.04512,1.67907,0.62608,1.05123,1.76187,0.62608,1.10307,1.59961,0.62608,1.00148,1.82094,0.62608,1.14005
8,Kiwior,ARS,DEF,4.8,2.15551,0.47703,1.02824,2.58349,0.47703,1.2324,2.33771,0.47703,1.11516,2.28169,0.47703,1.08843,2.18794,0.47703,1.04371,2.3377,0.47703,1.11515,2.24228,0.47703,1.06963,2.27837,0.47703,1.08685
9,Martinelli,ARS,MID,6.7,2.89855,0.8439,2.44607,2.82369,0.8439,2.3829,2.79242,0.8439,2.35651,2.94264,0.8439,2.48328,3.04147,0.8439,2.56668,3.02068,0.8439,2.54914,2.78444,0.8439,2.34978,3.02767,0.8439,2.55503
10,Nelson,FUL,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17796,0.70749,1.54087
11,Nketiah,CRY,FWD,5.9,1.77478,0.91184,1.61832,2.02231,0.91184,1.84402,1.65,0.91184,1.50454,2.03119,0.91184,1.85212,1.9101,0.91184,1.74171,1.91158,0.91184,1.74306,1.80613,0.91184,1.64691,1.9579,0.91184,1.7853
