ID,Name,Team,Pos,Price,14_pts,15_pts,16_pts,17_pts,18_pts,19_pts,20_pts
1,"Fábio Vieira",ARS,MID,5.4,0,0,0,0,0,0,0
2,G.Jesus,ARS,FWD,6.8,1.81006,1.69101,1.99226,1.7149,1.8743,1.66682,1.62687
3,Gabriel,ARS,DEF,6.2,1.80719,2.60986,2.58463,2.90901,2.66428,3.11601,2.87315
4,Havertz,ARS,FWD,7.9,2.46165,2.24302,2.59427,2.24465,2.51543,2.22071,2.17817
5,Hein,ARS,GK,4,0,0,0,0,0,0,0
6,J.Timber,ARS,DEF,5.5,2.71462,2.89064,2.75978,2.85278,2.77455,3.0963,2.83053
7,Jorginho,ARS,MID,4.7,0.95062,0.95401,1.00034,0.95839,0.97211,0.9675,0.91908
8,Kiwior,ARS,DEF,4.8,1.29549,1.46245,1.27768,1.43569,1.29984,1.60355,1.43715
9,Martinelli,ARS,MID,6.9,1.64827,1.54329,1.76072,1.52618,1.80298,1.59161,1.50164
10,Nelson,FUL,MID,5,1.68009,1.5682,1.52801,1.76174,1.6272,1.764,1.70547
11,Nketiah,CRY,FWD,5.9,1.61443,1.44816,1.60637,1.50324,1.62154,1.79861,1.54614
12,Nwaneri,ARS,MID,4.5,1.10302,1.0979,1.16634,1.11512,1.12888,1.11799,1.06566
13,Ødegaard,ARS,MID,8.3,3.57456,3.58496,3.77197,3.46936,3.92251,3.70254,3.46981
14,Ramsdale,SOU,GK,4.4,0,0,0.03715,2.83234,2.65152,3.15038,2.63541
15,Raya,ARS,GK,5.5,3.57575,4.23832,3.36385,3.97016,3.07414,4.25315,4.17122
16,Rice,ARS,MID,6.2,2.52623,2.6794,2.67398,2.64844,2.70839,2.75149,2.61124
17,Saka,ARS,MID,10.3,4.80651,4.52891,5.52161,4.49806,5.98499,4.95165,4.56745
18,Saliba,ARS,DEF,6,2.86951,3.01054,2.93869,3.02156,2.86394,3.17639,2.95248
19,"Smith Rowe",FUL,MID,5.7,2.358,2.14864,2.10938,2.4428,2.23208,2.44367,2.39611
20,Thomas,ARS,MID,5,1.19501,1.57043,1.854,1.87142,1.91301,1.88272,1.81792
21,Tierney,ARS,DEF,4.3,0.11263,0.12523,0.11194,0.12311,0.11391,0.13569,0.12314
22,Tomiyasu,ARS,DEF,4.8,0,0,0,0,0,0,0
23,Trossard,ARS,MID,6.8,2.4772,2.52538,2.84947,2.61193,2.98157,2.72508,2.57884
24,White,ARS,DEF,6.2,0,0,0,0,0,0,0
25,Zinchenko,ARS,DEF,4.8,1.93176,1.95916,1.98063,1.94911,1.95231,2.09702,1.92108
26,"Alex Moreno",NFO,DEF,4.4,2.60952,2.37286,2.28875,2.59278,2.34167,2.16559,2.38502
27,Archer,SOU,FWD,5,1.92361,1.92332,1.9693,1.98734,2.14021,2.00762,2.10189
28,Bailey,AVL,MID,6.3,2.82909,3.00438,2.32437,2.38734,2.23515,2.7992,3.32488
29,Barkley,AVL,MID,5.2,2.01506,2.06793,1.87207,1.79481,1.83273,1.96525,2.19012
30,Barrenechea,AVL,MID,4.9,0,0,0,0,0,0,0
31,Buendia,AVL,MID,5.2,0.80478,0.82944,0.74172,0.68196,0.71754,0.77352,0.89405
32,Cash,AVL,DEF,4.4,2.07392,2.01293,2.1596,2.11987,2.35509,2.08099,2.22207
33,Dendoncker,AVL,MID,4.5,0,0,0,0,0,0,0
34,Diaby,AVL,MID,6.5,0,0,0,0,0,0,0
35,"Diego Carlos",AVL,DEF,4.5,1.83348,1.75568,1.99913,1.94075,2.19719,1.85317,1.93388
36,Digne,AVL,DEF,4.7,2.57519,2.54466,2.64352,2.50346,2.80166,2.55348,2.78595
37,Dobbin,AVL,MID,5,0,0,0,0,0,0,0
38,Duran,AVL,FWD,5.8,1.5561,1.65492,1.4596,1.2601,1.33885,1.48863,1.68681
39,Gauci,AVL,GK,4,0.19534,0.18119,0.21407,0.2344,0.24244,0.20692,0.20624
40,Hause,AVL,DEF,4,3.0E-5,3.0E-5,3.0E-5,3.0E-5,4.0E-5,3.0E-5,3.0E-5
41,"Iling Jr",AVL,MID,5.4,0,0,0,0,0,0,0
42,Kamara,AVL,MID,5,1.37307,1.40814,1.33843,1.23551,1.31408,1.34143,1.48562
43,Kesler-Hayden,AVL,DEF,4,0,0,0,0,0,0,0
44,Konsa,AVL,DEF,4.4,2.64011,2.60471,2.5487,2.61529,2.72442,2.62345,2.77579
45,Maatsen,AVL,DEF,4.6,1.76924,1.73865,1.80986,1.74529,1.95523,1.76374,1.93485
46,Marschall,AVL,GK,4,0,0,0,0,0,0,0
47,Martinez,AVL,GK,5,3.21094,2.98726,3.87108,3.8283,4.31856,3.3941,3.38392
48,McGinn,AVL,MID,5.2,2.64268,2.78069,2.43607,2.39086,2.36946,2.6535,2.99352
49,Mings,AVL,DEF,4.4,0.22003,0.21432,0.22862,0.22401,0.24742,0.22059,0.23442
50,Nedeljkovic,AVL,DEF,4,0.12759,0.122,0.13719,0.13471,0.15221,0.1288,0.13551
51,Olsen,AVL,GK,4.5,0.00767,0.00713,0.00894,0.00917,0.01003,0.00812,0.0081
52,Pau,AVL,DEF,4.4,2.49449,2.42661,2.59249,2.55735,2.79685,2.50036,2.61688
53,Ramsey,AVL,MID,5.4,0.02479,1.9305,2.09894,1.9588,2.0934,2.18217,2.51697
54,Rogers,AVL,MID,5.3,2.40159,2.45943,2.24572,2.07461,2.17551,2.31927,2.63552
55,Sinisalo,AVL,GK,4,0,0,0,0,0,0,0
56,Sousa,AVL,DEF,4,0,0,0,0,0,0,0
57,Tielemans,AVL,MID,5.5,2.87792,3.00073,2.91576,2.56876,2.82794,2.85027,3.20947
58,Watkins,AVL,FWD,9,3.5793,3.82463,3.22699,3.27944,3.07895,3.62313,3.92146
59,Aarons,BOU,DEF,4.3,0.45373,0.44298,0.44583,0.48333,0.43297,0.48743,0.41997
60,Adams,BOU,MID,4.9,1.7387,1.60659,1.83705,1.72423,1.85187,1.70731,1.81111
61,Anthony,BOU,MID,4.5,0,0,0,0,0,0,0
62,Brooks,BOU,MID,4.9,1.53835,1.41344,1.62747,1.47958,1.59907,1.47038,1.5606
63,Christie,BOU,MID,4.9,2.29851,2.07436,2.37908,2.10403,2.3231,2.10607,2.27867
64,Cook,BOU,MID,5,1.41932,1.87964,2.23469,2.26544,2.31135,2.27087,2.27336
65,"Enes Ünal",BOU,FWD,5.4,1.47632,1.42878,1.62529,1.49049,1.67154,1.47042,1.64426
66,Faivre,BOU,MID,5,0,0,0,0,0,0,0
67,H.Traorè,BOU,MID,4.5,0,0,0,0,0,0,0
